Num?ro;Ville;Site;Usage;Superficie;Cout_m2;COUT;Taxe_Jouissance;Type_option;Date vente;Date fin contrat;attestation etablie;plan etablie;Presence ONEA;Presence SONABEL
1465;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;340;28000;9520000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1466;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;501;28000;14028000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1467;OUAGADOUGOU;SILMIOUGOU;HABITATION;400;26000;10400000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1468;OUAGADOUGOU;SILMIOUGOU;HABITATION;400;26000;10400000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1469;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;400;28000;11200000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1470;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;388;28000;10864000;500;ACOMPTE 30%;04/12/2023;04/12/2023;NON DEFINI;NON DEFINI;OUI;OUI
1471;OUAGADOUGOU;SILMIOUGOU;HABITATION;400;26000;10400000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1472;OUAGADOUGOU;SILMIOUGOU;HABITATION;400;26000;10400000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1473;OUAGADOUGOU;SILMIOUGOU;HABITATION;400;26000;10400000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1474;OUAGADOUGOU;SILMIOUGOU;HABITATION;400;26000;10400000;500;ACOMPTE 30%;15/01/2024;15/01/2025;NON DEFINI;NON DEFINI;OUI;OUI
1475;OUAGADOUGOU;SILMIOUGOU;HABITATION;400;26000;10400000;500;ACOMPTE 30%;21/11/2023;21/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1476;OUAGADOUGOU;SILMIOUGOU;HABITATION;400;26000;10400000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1477;OUAGADOUGOU;SILMIOUGOU;HABITATION;400;26000;10400000;500;ACOMPTE 30%;08/11/2023;08/11/2024;NON DEFINI;NON DEFINI;OUI;OUI
1478;OUAGADOUGOU;SILMIOUGOU;HABITATION ANGLE;388;28000;10864000;500;ACOMPTE 30%;04/12/2023;04/12/2023;NON DEFINI;NON DEFINI;OUI;OUI
